# base enabled arm: 92c59c75a01c282ce154d6e61551a5f6c28f1851cd871f7fca3a7bb6119f6df3  /tmp/c1-a6/base/attribution_baseline_attr
corpus: 41 files (40 components + 1 shared module), runs: 3, attribution: ON
warmup resolved 40/40 components
wall_median_ms	116.76
wall_min_ms	113.43
files	40
runs	3
attribution	1
site	domain	unit	calls	amount	ns	digest	alloc_count	alloc_bytes	dealloc_bytes
workspace.normalize_canonical_id	normalization	bytes	11313	175101	0	0	0	0	0
session.hash_16	hashing	bytes	361	125385	0	0	0	0	0
session.semantic_hash	hashing	calls	40	0	0	0	0	0	0
session.compile_profile_hash	hashing	calls	400	0	0	0	0	0	0
session.parse_stable_hash	hashing	calls	41	0	0	0	0	0	0
workspace.env_hash	hashing	bytes	4	213	0	0	0	0	0
compiler.carrier_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_script_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_eval_program_parse	parsing	bytes	42	42480	0	0	0	0	0
session.retained_snapshot_reuse	parsing	calls	214	0	0	0	0	0	0
compiler.oxc_expression_parse	parsing	bytes	880	10720	0	0	0	0	0
session.indexed_ready_build	preparation	calls	8032	0	15770176	0	107929	17035295	11478891
session.shallow_file_state_build	preparation	calls	41	0	75915	0	1285	239747	3009
session.eval_env_build	preparation	calls	41	0	253831	0	1994	358753	195603
session.prepared_decl_build	preparation	calls	41	0	97129	0	1590	105309	18124
session.decl_body_lower	preparation	calls	40	0	0	0	0	0	0
scheduler.submit_request	planning	calls	41	0	0	0	0	0	0
session.publish_field_types	projection	items	40	0	985377	0	10661	869441	763179
session.macro_member_walk	projection	items	572	0	0	0	0	0	0
session.semantic_dispatch	resolution	calls	4216	0	338433318	0	477396	103677354	71071025
session.semantic_cold_build	resolution	calls	1063	0	0	0	0	0	0
session.semantic_warm_hit	resolution	calls	3153	0	0	0	0	0	0
session.resolve_decl	resolution	calls	4	0	30083	0	186	16304	13592
session.import_route_resolve	resolution	calls	160	0	4539374	0	29760	1917600	1716440
session.instantiate	inference	calls	38	0	2270458	0	6899	598170	506575
session.substitute	inference	items	38	3	0	0	0	0	0
compiler.code_transform_render	rendering	bytes	160	182310	0	0	0	0	0
compiler.template_codegen_runtime	rendering	calls	40	0	511044	0	3680	369070	372430
compiler.source_map_build	mapping	items	40	280	0	0	0	0	0
session.fact_observe	provenance	items	16917	73923	0	0	0	0	0
session.read_set_signature_build	provenance	items	5115	134470	0	0	0	0	0
session.origin_edge_record	provenance	items	694	699	0	0	0	0	0
session.source_text_copy	copying	bytes	120	124410	0	0	0	0	0
session.analysis_snapshot_copy	copying	calls	20410	0	0	0	0	0	0
runtime.unattributed_allocation	allocation	bytes	0	0	0	0	839015	128974689	168051974
session.parse_arena_used	arena	bytes	41	222728	0	0	0	0	0
session.parse_arena_capacity	arena	gauge	41	16320	0	0	0	0	0
scheduler.task_execute	task	calls	130	0	0	0	0	0	0
scheduler.task_wait	task	ns	130	153597792	0	0	0	0	0
scheduler.queue_depth	queue	gauge	130	41	0	0	0	0	0
session.cache_admit_cacheable	admission	calls	1063	0	0	0	0	0	0
session.artifact_pin_acquire	pinning	calls	41	0	0	0	0	0	0
session.artifact_pin_release	pinning	calls	41	0	0	0	0	0	0
session.component_meta_digest	digest	digest	40	0	0	7161214711717846280	0	0	0

── determinism ──
component_meta   run1= 7161214711717846280  run2= 7161214711717846280  AGREE
compiled_output  run1=                   0  run2=                   0  N/A (no observations)
